Nilai Emisi CO2 (Metrics Ton per Capita) di Indonesia dari Tahun 1960-2018,,
,,
No.,Year,Emission
1,1960,0.243920444
2,1961,0.288847528
3,1962,0.248553409
4,1963,0.239783195
5,1964,0.229458195
6,1965,0.246241473
7,1966,0.227084338
8,1967,0.232007107
9,1968,0.253602314
10,1969,0.298784274
11,1970,0.312064909
12,1971,0.330738851
13,1972,0.358132823
14,1973,0.395605913
15,1974,0.402292488
16,1975,0.412942076
17,1976,0.461389594
18,1977,0.600490434
19,1978,0.667989729
20,1979,0.660345907
21,1980,0.642834916
22,1981,0.663585649
23,1982,0.682392176
24,1983,0.664245133
25,1984,0.694540628
26,1985,0.734900509
27,1986,0.723036368
28,1987,0.718523982
29,1988,0.755317201
30,1989,0.734905627
31,1990,0.815761138
32,1991,0.876744877
33,1992,0.910355784
34,1993,0.97185669
35,1994,1.015535177
36,1995,1.131545133
37,1996,1.17297927
38,1997,1.270396477
39,1998,1.269366929
40,1999,1.337342815
41,2000,1.324594286
42,2001,1.407609164
43,2002,1.40809308
44,2003,1.522267724
45,2004,1.536865336
46,2005,1.52194445
47,2006,1.587749693
48,2007,1.635207076
49,2008,1.601819308
50,2009,1.653210477
51,2010,1.724073581
52,2011,1.960133257
53,2012,1.959133194
54,2013,1.804251041
55,2014,1.920799967
56,2015,1.899658692
57,2016,1.89244089
58,2017,2.01367107
59,2018,2.178461553
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
