Year,Emission
1960,0.243920444
1961,0.288847528
1962,0.248553409
1963,0.239783195
1964,0.229458195
1965,0.246241473
1966,0.227084338
1967,0.232007107
1968,0.253602314
1969,0.298784274
1970,0.312064909
1971,0.330738851
1972,0.358132823
1973,0.395605913
1974,0.402292488
1975,0.412942076
1976,0.461389594
1977,0.600490434
1978,0.667989729
1979,0.660345907
1980,0.642834916
1981,0.663585649
1982,0.682392176
1983,0.664245133
1984,0.694540628
1985,0.734900509
1986,0.723036368
1987,0.718523982
1988,0.755317201
1989,0.734905627
1990,0.815761138
1991,0.876744877
1992,0.910355784
1993,0.97185669
1994,1.015535177
1995,1.131545133
1996,1.17297927
1997,1.270396477
1998,1.269366929
1999,1.337342815
2000,1.324594286
2001,1.407609164
2002,1.40809308
2003,1.522267724
2004,1.536865336
2005,1.52194445
2006,1.587749693
2007,1.635207076
2008,1.601819308
2009,1.653210477
2010,1.724073581
2011,1.960133257
2012,1.959133194
2013,1.804251041
2014,1.920799967
2015,1.899658692
2016,1.89244089
2017,2.01367107
2018,2.178461553
